指令集	Instruction Set
资料中心	Resource Center
按下事件	Press Event
弹起事件	Release Event
滑动事件	Slide Event
定时事件	Timer Event
页面离开事件	Page Leave Event
播放完成事件	Playback Complete Event
长按事件	Long Press Event
编辑区重绘事件	Editor Redraw Event
前初始化事件	Pre-Init Event
后初始化事件	Post-Init Event
曲线/波形	Curve/Waveform
滑块	Slider
动画	Animation
视频	Video
音频	Audio
触摸捕捉	Touch Capture
定时器	Timer
变量	Variable
双态按钮	Toggle Button
数字	Number
滚动文本	Scrolling Text
复选框	Checkbox
单选框	Radio Button
二维码	QR Code
虚拟浮点数	Virtual Float
外部图片	External Image
下拉框	Dropdown
滑动文本	Sliding Text
文件流	File Stream
文件遍历	File Traversal
文件浏览器	File Browser
数据记录	Data Record
状态开关	State Switch
选择文本	Select Text
Printer3D	Printer3D
ColPic	ColPic
按钮	Buttons
进度条	Progress bar
触摸热区	Touch hotspots
(78/79)触摸代码上传	Touch code upload
图片	Image
切图	Cut
文本	Text
页面	Page
指针	Pointer
ASCII文本录入_VP	Text Entry_VP
变量数据录入_VP	Variable Data Entry_VP
艺术字_VP	Word Art_VP
文本_VP	Text_VP
数据变量_VP	Data Variable_VP
进度条_VP	Progress Bar_VP
图片_VP	Image_VP
按钮_VP	Button_VP
二维码_VP	QR Code_VP
基础触控_VP	Basic Touch_VP
弹出菜单_VP	Pop-up Menu_VP
图标轮播_VP	Icon Carousel_VP
曲线_VP	Curve_VP
JPEG_VP	JPEG_VP
Dra_VP	Dra_VP
未知控件	Unknown control
宋体	Songti
logon	logon
label1	label1
正在检测版本更新...	Checking for version updates...
剪切	Cut
复制	Copy
粘贴	Paste
删除	Delete
添加	Add
删除	Delete
插入	Insert
替换	Replace
导出	Export
全删	Delete All
名称设置	Name Settings
压缩质量设置	Compression Quality Settings
允许透明像素	Allow Transparent Pixels
不允许透明像素	Disallow Transparent Pixels
全部选中	Select All
音频压缩	Audio Compression
添加	Add
删除	Delete
插入	Insert
替换	Replace
导出	Export
全删	Delete All
名称设置	Name Settings
压缩质量设置	Compression Quality Settings
允许透明像素	Allow Transparent Pixels
不允许透明像素	Disallow Transparent Pixels
全部选中	Select All
音频压缩	Audio Compression
复制(Ctrl+C)	Copy (Ctrl+C)
粘贴(Ctrl+V)	Paste (Ctrl+V)
原地粘贴(Ctrl+Shift+V)	Paste in Place (Ctrl+Shift+V)
剪切(Ctrl+X)	Cut (Ctrl+X)
删除	Delete
锁定	Lock
解锁	Unlock
创建组合	Create Group
取消组合	Ungroup
导出组合	Export Group
